iter	Passed	Remaining
0	2	740
1	4	702
2	6	690
3	9	666
4	11	665
5	13	658
6	15	662
7	18	678
8	20	669
9	23	685
10	26	698
11	28	691
12	30	682
13	33	677
14	35	678
15	38	679
16	40	673
17	42	668
18	44	663
19	47	658
20	49	653
21	51	648
22	54	650
23	56	645
24	58	640
25	62	653
26	64	648
27	66	642
28	68	640
29	70	636
30	73	634
31	75	635
32	78	633
33	80	633
34	83	633
35	86	631
36	88	631
37	91	630
38	93	628
39	96	626
40	99	625
41	101	622
42	103	618
43	106	617
44	108	613
45	110	612
46	113	608
47	115	604
48	117	604
49	119	599
50	122	597
51	124	594
52	126	590
53	128	587
54	131	587
55	134	584
56	136	580
57	139	582
58	142	581
59	144	579
60	147	576
61	149	572
62	151	569
63	154	569
64	157	570
65	160	567
66	162	566
67	165	564
68	167	561
69	170	561
70	172	557
71	174	554
72	177	550
73	180	550
74	182	547
75	184	545
76	187	542
77	189	538
78	191	537
79	194	533
80	196	530
81	198	526
82	200	523
83	202	520
84	205	519
85	207	516
86	210	514
87	212	511
88	214	508
89	216	506
90	219	503
91	222	501
92	224	499
93	226	496
94	228	493
95	230	490
96	233	487
97	235	485
98	237	482
99	240	480
100	242	478
101	244	474
102	246	471
103	248	467
104	250	465
105	252	461
106	254	458
107	256	455
108	258	453
109	260	450
110	262	447
111	264	443
112	266	441
113	268	438
114	271	436
115	273	433
116	275	431
117	277	428
118	280	425
119	282	423
120	284	420
121	286	418
122	288	415
123	290	412
124	293	410
125	295	408
126	297	405
127	300	403
128	302	401
129	305	399
130	307	397
131	309	394
132	311	391
133	313	388
134	316	386
135	318	383
136	320	380
137	322	378
138	325	376
139	327	374
140	330	372
141	332	370
142	335	367
143	337	365
144	339	362
145	341	360
146	343	357
147	345	354
148	347	352
149	350	350
150	352	347
151	354	344
152	356	342
153	358	339
154	360	336
155	362	334
156	364	332
157	366	329
158	368	326
159	370	324
160	372	321
161	374	319
162	377	316
163	379	314
164	381	312
165	383	309
166	385	307
167	387	304
168	390	302
169	392	299
170	394	297
171	396	294
172	398	292
173	400	289
174	402	287
175	404	285
176	407	283
177	409	280
178	411	278
179	413	275
180	415	273
181	418	271
182	420	268
183	423	266
184	425	264
185	427	261
186	428	259
187	431	257
188	433	254
189	435	252
190	437	249
191	439	247
192	441	244
193	443	242
194	446	240
195	448	237
196	450	235
197	452	233
198	454	230
199	457	228
200	459	226
201	461	223
202	463	221
203	466	219
204	469	217
205	471	215
206	474	213
207	476	210
208	478	208
209	480	205
210	482	203
211	484	201
212	487	198
213	489	196
214	491	194
215	494	192
216	497	190
217	499	187
218	501	185
219	503	183
220	505	180
221	507	178
222	509	175
223	511	173
224	513	171
225	515	168
226	518	166
227	520	164
228	522	162
229	524	159
230	527	157
231	529	155
232	531	152
233	533	150
234	536	148
235	538	146
236	541	143
237	543	141
238	545	139
239	547	136
240	549	134
241	552	132
242	554	130
243	556	127
244	558	125
245	560	123
246	562	120
247	565	118
248	567	116
249	569	113
250	571	111
251	573	109
252	575	106
253	577	104
254	579	102
255	581	99
256	583	97
257	585	95
258	587	92
259	589	90
260	591	88
261	593	86
262	595	83
263	597	81
264	599	79
265	601	76
266	603	74
267	605	72
268	607	69
269	609	67
270	611	65
271	613	63
272	615	60
273	617	58
274	619	56
275	621	54
276	623	51
277	625	49
278	627	47
279	629	44
280	631	42
281	633	40
282	635	38
283	638	35
284	640	33
285	642	31
286	644	29
287	647	26
288	649	24
289	651	22
290	653	20
291	654	17
292	656	15
293	658	13
294	660	11
295	662	8
296	664	6
297	666	4
298	668	2
299	671	0
